³âµµ,È¸Â÷,ÃßÃ·ÀÏ,1µî´çÃ·ÀÚ¼ö,1µî´çÃ·±Ý¾×,2µî´çÃ·ÀÚ¼ö,2µî´çÃ·±Ý¾×,3µî´çÃ·ÀÚ¼ö,3µî´çÃ·±Ý¾×,4µî´çÃ·ÀÚ¼ö,4µî´çÃ·±Ý¾×,5µî´çÃ·ÀÚ¼ö,5µî´çÃ·±Ý¾×,´çÃ·¹øÈ£1,´çÃ·¹øÈ£2,´çÃ·¹øÈ£3,´çÃ·¹øÈ£4,´çÃ·¹øÈ£5,´çÃ·¹øÈ£6,´çÃ·¹øÈ£º¸³Ê½º
,820,2018.08.18,4,4627313532 ,60,51414595 ,"1,987",1552530 ,"99,433",50000 ,"1,644,326",5000 ,10,21,22,30,35,42,6
,819,2018.08.11,7,2594534840 ,49,61774640 ,"1,981",1527995 ,"97,667",50000 ,"1,638,089",5000 ,16,25,33,38,40,45,15
,818,2018.08.04,13,1380804318 ,39,76711351 ,"1,845",1621541 ,"90,205",50000 ,"1,490,497",5000 ,14,15,25,28,29,30,3
,817,2018.07.28,9,1868477334 ,54,51902149 ,"2,068",1355279 ,"105,276",50000 ,"1,718,171",5000 ,3,9,12,13,25,43,34
,816,2018.07.21,8,2128107938 ,67,42350407 ,"2,064",1374747 ,"102,402",50000 ,"1,675,799",5000 ,12,18,19,29,31,39,7
,815,2018.07.14,7,2579855358 ,39,77175161 ,"1,703",1767371 ,"92,977",50000 ,"1,596,140",5000 ,17,21,25,26,27,36,4
,814,2018.07.07,6,3067192063 ,52,58984463 ,"1,833",1673319 ,"93,837",50000 ,"1,585,777",5000 ,2,21,28,38,42,45,30
,813,2018.06.30,4,4591763157 ,43,71190127 ,"1,800",1700654 ,"89,323",50000 ,"1,548,384",5000 ,11,30,34,35,42,44,27
,812,2018.06.23,6,2947954750 ,68,43352276 ,"1,976",1491880 ,"100,498",50000 ,"1,693,074",5000 ,1,3,12,14,16,43,10
,811,2018.06.16,7,2524148197 ,49,60098767 ,"2,151",1369057 ,"104,155",50000 ,"1,703,788",5000 ,8,11,19,21,36,45,25
,810,2018.06.09,8,2231598047 ,64,46491626 ,"2,053",1449325 ,"100,608",50000 ,"1,672,013",5000 ,5,10,13,21,39,43,11
,809,2018.06.02,6,2921372750 ,56,52167371 ,"2,179",1340695 ,"104,350",50000 ,"1,703,714",5000 ,6,11,15,17,23,40,39
,808,2018.05.26,6,3087620500 ,46,67122185 ,"1,962",1573711 ,"95,319",50000 ,"1,597,761",5000 ,15,21,31,32,41,43,24
,807,2018.05.19,7,2437662322 ,59,48202363 ,"2,319",1226365 ,"108,300",50000 ,"1,749,855",5000 ,6,10,18,25,34,35,33
,806,2018.05.12,7,2640760875 ,57,54050662 ,"1,850",1665345 ,"91,180",50000 ,"1,561,838",5000 ,14,20,23,31,37,38,27
,805,2018.05.05,4,4266061969 ,53,53661157 ,"2,075",1370623 ,"105,602",50000 ,"1,700,112",5000 ,3,12,13,18,31,32,42
,804,2018.04.28,11,1631996523 ,49,61061095 ,"2,048",1460935 ,"100,907",50000 ,"1,659,443",5000 ,1,10,13,26,32,36,9
,803,2018.04.21,5,3663810225 ,50,61063504 ,"2,094",1458059 ,"102,413",50000 ,"1,657,869",5000 ,5,9,14,26,30,43,2
,802,2018.04.14,16,1082947993 ,67,43102408 ,"2,207",1308501 ,"107,980",50000 ,"1,814,300",5000 ,10,11,12,18,24,42,27
,801,2018.04.07,8,2256786657 ,51,59000959 ,"1,999",1505278 ,"97,006",50000 ,"1,618,941",5000 ,17,25,28,37,43,44,2
,800,2018.03.31,11,1632246205 ,51,58675518 ,"2,179",1373315 ,"110,956",50000 ,"1,801,924",5000 ,1,4,10,12,28,45,26
,799,2018.03.24,10,1826427225 ,56,54357954 ,"2,242",1357737 ,"107,519",50000 ,"1,725,236",5000 ,12,17,23,34,42,45,33
,798,2018.03.17,7,2710791911 ,60,52709843 ,"2,124",1488979 ,"98,988",50000 ,"1,653,851",5000 ,2,10,14,22,32,36,41
,797,2018.03.10,8,2397028125 ,34,94001103 ,"1,868",1710941 ,"97,900",50000 ,"1,641,334",5000 ,5,22,31,32,39,45,36
,796,2018.03.03,7,2763490340 ,46,70088524 ,"1,921",1678331 ,"96,701",50000 ,"1,643,069",5000 ,1,21,26,36,40,41,5
,795,2018.02.24,11,1714977000 ,62,50711686 ,"2,423",1297617 ,"111,043",50000 ,"1,825,105",5000 ,3,10,13,26,34,38,36
,794,2018.02.17,7,2650940304 ,45,68728082 ,"2,607",1186331 ,"116,809",50000 ,"1,877,646",5000 ,6,7,18,19,30,38,13
,793,2018.02.10,5,3750146775 ,61,51231514 ,"2,043",1529674 ,"98,216",50000 ,"1,635,392",5000 ,10,15,21,35,38,43,31
,792,2018.02.03,7,2655736768 ,65,47667071 ,"1,958",1582411 ,"99,185",50000 ,"1,684,675",5000 ,2,7,19,25,29,36,16
,791,2018.01.27,14,1253081893 ,38,76943625 ,"2,410",1213219 ,"102,931",50000 ,"1,713,102",5000 ,2,10,12,31,33,42,32
,790,2018.01.20,16,1160516274 ,59,52452713 ,"2,417",1280394 ,"113,336",50000 ,"1,812,992",5000 ,3,8,19,27,30,41,12
,789,2018.01.13,15,1140976825 ,70,40749173 ,"2,437",1170473 ,"118,089",50000 ,"1,868,863",5000 ,2,6,7,12,19,45,38
,788,2018.01.06,13,1401475154 ,70,43378993 ,"2,257",1345384 ,"112,504",50000 ,"1,828,701",5000 ,2,10,11,19,35,39,29
2017,787,2017.12.30,6,3092108313 ,51,60629575 ,"2,339",1321979 ,"114,842",50000 ,"1,863,599",5000 ,5,6,13,16,27,28,9
,786,2017.12.23,4,4551365250 ,96,31606704 ,"2,064",1470080 ,"103,000",50000 ,"1,708,226",5000 ,12,15,16,20,24,30,38
,785,2017.12.16,6,2886622688 ,55,52484049 ,"1,972",1463805 ,"100,062",50000 ,"1,678,240",5000 ,4,6,15,25,26,33,40
,784,2017.12.09,9,1908678000 ,51,56137589 ,"2,257",1268506 ,"115,089",50000 ,"1,699,421",5000 ,3,10,23,24,31,39,22
,783,2017.12.02,4,4603964625 ,36,85258605 ,"1,869",1642221 ,"90,899",50000 ,"1,532,640",5000 ,14,15,16,17,38,45,36
,782,2017.11.25,9,1946487625 ,49,59586356 ,"2,047",1426347 ,"96,821",50000 ,"1,585,617",5000 ,6,18,31,34,38,45,20
,781,2017.11.18,9,1882891542 ,52,54314180 ,"1,967",1435861 ,"102,959",50000 ,"1,699,786",5000 ,11,16,18,19,24,39,43
,780,2017.11.11,11,1667520137 ,45,67936006 ,"1,681",1818632 ,"92,630",50000 ,"1,605,516",5000 ,15,17,19,21,27,45,16
,779,2017.11.04,11,1527709296 ,66,42436370 ,"2,503",1118978 ,"114,464",50000 ,"1,751,447",5000 ,6,12,19,24,34,41,4
,778,2017.10.28,3,6264069500 ,67,46746788 ,"1,731",1809379 ,"92,126",50000 ,"1,575,045",5000 ,6,21,35,36,37,41,11
,777,2017.10.21,21,833468036 ,66,44199063 ,"2,413",1208926 ,"111,938",50000 ,"1,766,635",5000 ,6,12,17,21,34,37,18
,776,2017.10.14,7,2557579393 ,50,59676853 ,"2,001",1491176 ,"102,081",50000 ,"1,687,650",5000 ,8,9,18,21,28,40,20
,775,2017.10.07,5,3470437650 ,37,78163011 ,"1,719",1682392 ,"91,297",50000 ,"1,539,325",5000 ,11,12,29,33,38,42,17
,774,2017.09.30,11,1709721512 ,60,52241491 ,"1,956",1602500 ,"101,524",50000 ,"1,704,279",5000 ,12,15,18,28,34,42,9
