9,6,10,8,20,2,11,14,16,5,1,12,5,1,7,19,14,5,2,3,9,2,1,9,6,12,13,3,5,4,4,5,13,8,7,12,9,1,10,16,14,3,12,17,2,11,1,8,5,6,15,6,14,3,1,5,10,17,1,12,2,5,1,3,6,10,2,2,3,2,2,5,12,4,3,14,6,11,15,6,6,6,8,11,12,8,5,6,1,5,7,5,9,1,7,3,1,4,10,9,5,6,10,13,2,2,4,3,1,12,3,7,3,1,10,15,8,5,4,7,23,13,2,5,6,11,2,2,4,11,3,7,1,6,2,20,12,1,1,4,4,2,2,2,1,2,17,11,3,10,2,2,3,1,1,10,3,3,11,4,3,2,1,4,7,1,3,15,24,7,5,1,7,6,1,6,17,21,4,3,4,12,1,1,9,7,8,7,11,7,12,15,2,5,10,3,5,2,4,7,8,10,3,7,16,5,3,11,3,3,13,5,2,1,5,15,8,11,14,6,7,3,6,11,4,9,15,1,8,19,1,2,13,3,1,7,9,1,2,6,8,4,5,10,8,7,6,2,14,4,4,8,1,1,2,2,13,2,5,5,4,8,3,8,2,9,2,8,20,6,2,14,2,6,7,8,2,3,5,5,5,16,10,2,14,2,3,11,1,3,1,1,4,4,14,5,4,5,1,11,12,4,12,11,13,2,1,3,1,29,1,6,8,4,5,13,5,8,3,3,6,12,7,11,10,9,16,1,16,18,5,1,7,11,10,1,4,3,4,6,14,1,2,2,1,5,4,3,12,12,5,12,6,7,6,1,6,1,3,5,13,19,4,4,5,20,22,8,2,2,2,4,1,17,1,12,1,3,3,8,18,14,9,1,4,8,16,6,10,4,8,2,4,1,6,23,3,11,8,4,4,8,1,4,13,12,8,12,6,3,3,2,1,13,11,4,25,1,10,17,6,11,9,8,3,19,2,18,1,3,12,6,4,8,10,1,8,6,4,2,11,4,5,7,2,2,4,11,1,6,9,6,7,1,5,10,5,6,9,1,10,12,18,11,1,9,1,10,16,7,1,1,4,7,11,4,10,1,1,6,5,6,1,4,11,15,8,7,16,17,11,3,5,5,2,11,2,5,4,1,1,10,2,5,14,11,5,5,1,5,3,3,5,15,1,1,1,1,18,6,2,1,3,5,13,5,16,4,3,9,1,6,16,7,2,10,9,12,16,5,2,3,10,1,15,9,2,4,1,1,14,5,4,7,4,2,13,7,7,1,5,6,3,1,6,1,17,3,8,3,1,6,1,13,2,6,2,1,10,7,3,10,4,14,13,1,7,3,5,5,3,7,3,5,9,1,9,6,7,4,14,6,4,1,1,8,14,6,19,3,3,12,13,9,13,2,4,2,6,11,2,1,1,21,13,4,8,5,5,4,17,4,2,5,4,1,5,2,5,4,1,16,7,2,5,2,11,12,10,2,14,3,1,1,3,1,12,3,5,14,12,7,35,7,15,6,4,5,8,8,19,1,4,1,1,2,13,14,2,5,1,1,4,19,13,3,4,4,2,16,3,24,9,5,6,7,1,22,3,1,4,19,5,16,6,3,1,1,2,2,21,4,2,2,4,26,12,8,3,9,10,7,2,6,3,4,3,8,7,19,12,3,7,2,4,7,1,12,4,3,3,5,2,1,11,4,26,7,7,1,7,1,4,8,17,5,17,1,1,1,6,6,1,8,5,6,3,1,17,4,1,4,2,6,16,6,1,5,17,3,10,2,1,2,6,3,2,5,5,5,10,3,2,4,14,3,3,14,2,6,10,7,10,17,1,7,2,2,2,4,6,14,8,1,3,6,17,13,7,6,16,7,1,2,9,4,6,7,8,1,9,1,4,2,7,5,4,6,10,6,3,3,6,3,2,22,2,1,9,2,8,2,14,16,14,11,9,10
13,10,24,15,25,8,17,18,20,13,2,16,18,16,8,21,26,11,4,9,14,25,9,10,8,18,14,10,6,5,7,11,16,15,9,18,18,12,21,25,15,9,18,21,21,30,3,11,10,11,21,10,20,12,10,9,11,25,4,17,10,22,21,10,7,15,7,10,8,6,10,6,15,6,10,15,18,16,17,12,21,12,9,12,15,12,6,10,9,7,27,15,30,3,22,8,3,7,22,33,9,7,14,14,8,17,16,4,2,14,10,9,12,2,15,19,10,21,8,22,27,15,11,10,16,24,4,7,10,17,6,8,11,7,8,30,14,28,12,8,11,11,6,7,7,5,20,15,4,18,10,12,4,6,4,28,13,10,23,5,11,5,7,18,15,6,11,27,25,17,15,8,12,7,11,13,23,24,10,5,5,15,8,8,10,10,21,9,18,8,14,17,4,6,20,5,6,3,9,18,19,14,7,37,21,6,13,12,4,21,19,16,9,4,13,24,17,18,15,15,18,16,7,13,10,12,18,2,17,28,7,9,14,6,7,13,15,2,16,8,16,5,13,17,21,8,9,22,18,8,8,14,5,2,6,19,14,16,11,12,12,10,4,24,8,10,5,13,30,8,8,21,7,7,18,17,12,5,7,7,12,17,11,8,15,4,13,18,12,6,3,10,5,10,19,10,11,7,4,12,15,20,20,17,14,7,10,6,7,31,12,7,17,24,17,18,6,13,12,19,10,23,8,12,24,14,17,5,23,20,17,12,14,23,11,4,5,7,22,8,23,9,8,11,15,8,5,7,29,25,27,13,9,20,14,5,22,4,4,20,14,20,13,13,7,22,27,17,7,4,8,8,2,22,3,15,10,4,5,23,29,25,12,9,13,13,25,13,16,21,13,12,10,8,12,29,20,18,11,6,9,10,7,19,25,24,10,15,14,10,7,7,11,20,13,6,27,23,22,20,12,16,14,16,13,23,3,22,3,23,16,7,17,10,11,17,15,11,9,11,13,5,6,17,14,9,7,14,3,9,20,7,12,2,20,14,9,12,21,2,15,13,20,15,13,16,3,11,17,16,8,26,7,12,22,15,15,5,2,10,22,22,11,8,13,26,11,9,18,20,21,22,12,15,5,12,3,10,16,10,9,14,8,8,19,16,16,25,8,13,14,8,13,20,2,10,13,8,24,8,13,5,5,9,15,14,17,9,4,17,6,12,23,17,4,14,18,18,19,8,17,10,11,13,17,17,3,12,5,2,15,15,18,8,10,14,19,11,9,3,9,11,8,4,10,9,18,7,13,14,12,12,15,33,7,8,5,3,11,16,11,12,15,19,14,8,9,8,9,18,10,8,4,9,16,27,12,11,12,5,27,13,11,5,5,19,23,7,23,8,8,15,18,11,16,12,19,16,10,15,4,11,4,22,21,6,9,10,11,5,25,5,6,11,19,3,7,20,11,11,8,20,16,3,7,3,12,13,19,7,25,11,2,3,12,3,14,11,6,21,19,12,36,10,20,14,8,6,14,14,24,2,10,2,2,18,15,21,15,9,5,10,17,26,14,9,19,16,11,27,10,27,12,13,9,11,5,34,7,18,9,26,18,19,19,8,5,2,18,11,25,6,19,3,15,27,16,12,13,11,11,9,16,14,12,7,17,10,19,23,30,5,20,8,16,17,11,28,6,11,4,10,4,2,14,9,29,18,20,5,18,4,10,10,32,14,22,3,7,3,9,7,3,17,32,22,14,21,20,26,17,12,12,8,23,10,2,7,18,12,13,18,3,5,15,12,4,9,19,8,12,7,3,25,15,20,8,15,8,29,24,10,14,21,8,8,4,3,10,7,10,17,13,10,11,31,18,20,13,7,17,27,10,3,26,7,14,9,17,5,18,20,5,4,8,13,5,12,14,30,12,4,7,4,6,23,11,7,25,4,19,9,15,24,27,16,13,23
32,16,40,17,31,23,28,22,24,17,16,26,30,29,13,30,32,14,11,11,17,28,11,13,18,30,19,16,16,31,13,12,24,21,24,24,20,13,22,33,25,12,19,25,28,34,12,19,13,15,31,18,23,13,13,14,12,28,10,23,14,31,26,13,18,21,19,12,19,7,11,13,16,15,23,16,31,18,19,19,35,17,18,29,18,19,11,17,12,11,29,20,34,8,24,16,12,11,27,36,12,11,16,26,17,19,20,16,15,24,13,12,33,3,18,21,13,27,9,29,28,18,17,13,37,32,5,13,14,21,10,10,21,19,33,33,21,35,29,13,20,19,13,27,22,15,30,24,9,30,16,19,6,17,8,31,16,14,28,8,13,8,16,26,20,11,14,33,33,19,22,10,15,12,15,20,27,27,19,7,6,24,17,11,14,17,28,10,26,20,15,25,6,11,33,8,9,12,23,19,25,19,14,38,26,26,15,16,7,22,28,21,24,16,17,31,18,21,18,22,22,22,15,25,11,19,21,4,21,31,12,22,26,7,19,30,16,6,17,13,25,11,18,18,25,11,18,27,20,27,18,23,6,7,18,25,22,19,14,17,24,23,12,28,13,13,6,14,36,28,15,29,12,10,30,27,14,14,9,20,14,22,15,20,16,20,18,21,26,13,17,15,6,18,25,16,13,18,20,25,19,26,23,21,17,17,20,20,14,35,13,15,20,25,21,26,19,26,13,22,18,26,18,14,26,15,23,9,27,24,25,22,17,26,29,37,13,18,27,13,30,12,23,12,20,21,9,14,32,29,31,32,11,22,22,27,28,10,12,23,24,23,20,22,8,26,31,35,26,8,17,25,23,26,27,19,16,23,10,25,30,29,13,14,18,20,26,29,20,22,15,14,13,11,15,31,24,26,28,10,10,18,12,20,27,33,18,20,19,20,13,8,12,21,23,10,29,28,28,30,20,29,20,26,20,29,5,25,16,28,19,15,18,14,26,27,19,26,10,13,15,14,8,20,15,15,39,22,18,21,21,13,21,10,21,22,15,18,27,9,20,17,31,20,20,28,7,18,28,18,9,31,10,19,24,28,22,10,8,22,29,29,13,19,15,37,14,15,24,35,24,25,19,21,7,14,22,16,23,19,10,18,14,29,36,19,17,27,18,14,17,13,14,23,15,17,14,19,26,14,34,14,20,16,21,27,34,14,16,19,9,13,25,20,21,15,29,20,23,22,19,11,21,33,19,34,5,24,19,5,17,21,23,18,16,17,20,13,10,20,27,19,15,12,17,17,31,8,18,33,17,24,19,37,15,18,10,4,23,31,37,13,21,20,15,24,12,9,12,20,19,24,9,34,27,28,24,16,15,14,30,27,14,6,19,25,26,19,30,27,17,28,21,27,25,17,20,24,16,24,15,17,8,26,22,13,10,19,14,9,35,15,8,13,26,18,28,33,19,20,14,27,17,7,20,4,18,17,22,18,31,14,3,21,14,11,27,24,13,22,20,16,37,19,23,18,11,24,18,32,27,8,14,4,6,24,27,23,20,17,11,13,30,28,18,24,21,25,13,35,31,28,27,18,10,26,21,36,8,30,13,30,28,20,21,11,13,10,25,21,33,13,27,13,17,28,30,29,17,15,27,20,30,22,20,15,23,11,24,25,34,10,22,32,23,18,16,30,10,13,10,22,25,6,19,28,30,31,22,34,22,5,12,20,33,15,24,17,11,10,16,14,8,27,34,24,24,24,29,28,20,16,37,13,27,15,3,11,24,24,25,29,15,24,17,18,11,12,22,14,15,10,7,33,18,23,15,19,25,36,25,16,30,31,21,14,15,11,12,16,18,26,15,20,21,35,19,23,18,13,22,30,23,11,35,32,19,18,20,13,23,26,7,21,27,17,6,17,18,38,13,9,24,16,12,25,21,36,30,16,25,16,26,29,30,19,21,29
38,28,41,19,32,26,30,26,28,29,22,28,41,33,15,33,36,30,28,12,33,30,14,28,35,39,26,19,18,35,29,29,25,31,29,26,24,24,30,38,28,13,29,26,38,35,14,21,21,17,32,25,31,18,26,26,18,37,12,34,22,32,36,26,19,35,25,31,27,12,19,16,20,25,24,17,34,19,21,24,36,21,21,33,28,21,14,18,23,16,30,31,35,12,31,32,21,24,31,40,30,17,18,28,24,24,33,20,19,26,22,14,36,9,21,34,36,34,16,33,38,24,18,27,38,33,17,25,15,26,30,19,23,21,35,35,30,41,34,19,23,25,16,33,33,18,31,35,24,36,19,24,10,22,23,33,24,16,29,16,21,11,18,33,25,28,15,35,34,30,23,13,24,28,17,27,35,29,29,14,12,36,34,15,25,29,31,13,27,29,24,37,11,17,36,19,11,20,33,27,28,39,16,39,31,27,40,26,11,33,37,23,41,26,23,32,24,36,21,23,24,37,16,26,12,20,32,23,24,38,15,25,33,20,26,39,21,16,32,30,30,12,23,19,39,16,19,33,23,34,19,36,14,9,21,26,27,31,27,29,33,24,14,35,25,24,13,30,38,33,22,31,15,16,39,33,33,20,11,22,32,31,25,30,19,34,33,26,27,23,20,16,25,27,26,17,17,37,23,32,26,28,28,24,32,28,32,24,20,38,21,22,27,27,25,31,26,28,15,31,31,30,32,15,29,17,24,21,29,27,31,32,20,29,38,38,14,29,28,16,32,28,41,15,26,23,13,23,33,35,34,33,22,25,26,30,32,17,20,27,32,24,29,27,15,33,35,36,29,15,30,27,25,27,28,22,24,29,17,27,37,32,15,16,31,22,31,37,39,34,28,17,23,13,34,33,32,31,30,14,32,23,18,26,34,38,30,24,21,26,27,9,14,30,35,19,36,30,34,31,26,38,22,30,24,33,11,31,18,34,22,24,27,27,31,28,21,27,29,14,26,20,11,26,22,23,41,35,32,31,22,16,24,25,24,24,19,31,34,17,23,22,34,26,22,40,8,22,37,20,17,34,19,21,32,33,24,12,17,31,31,37,24,25,17,42,16,26,42,36,30,29,26,25,14,21,27,24,25,20,12,21,25,30,43,22,20,29,24,20,20,27,22,29,28,29,33,34,29,21,38,18,34,23,29,30,36,26,17,30,16,17,33,32,25,32,32,21,25,28,20,22,27,35,34,35,6,27,28,11,19,23,30,21,26,30,32,33,12,25,29,20,27,16,30,21,32,18,32,37,28,27,40,40,24,31,18,6,24,36,39,15,33,35,26,31,27,27,20,36,24,34,11,37,36,32,25,18,24,35,31,31,21,24,20,31,31,25,37,31,23,36,23,31,36,19,21,27,40,39,28,21,13,27,24,17,12,31,29,11,36,16,14,19,27,20,29,35,21,26,18,33,33,15,25,5,21,20,23,20,34,31,15,29,35,24,33,38,14,25,25,34,41,22,26,26,18,25,30,35,30,18,19,8,16,34,29,32,21,25,12,16,32,31,22,30,24,29,15,37,40,30,36,19,11,28,25,40,34,41,18,33,30,32,35,12,26,13,28,34,34,21,35,20,26,42,34,31,18,20,28,25,36,28,23,18,34,14,27,28,36,29,27,33,25,28,17,34,11,14,17,34,31,9,26,33,33,33,23,36,23,6,22,34,34,27,26,32,23,27,23,15,21,31,40,36,33,26,35,29,24,23,39,23,34,17,14,13,25,27,29,32,22,32,18,32,17,16,25,15,16,15,17,36,21,36,27,30,36,39,33,25,31,37,27,32,16,16,15,19,26,31,23,27,30,38,21,35,19,15,30,33,26,26,37,33,25,23,35,34,25,28,18,26,29,18,8,18,20,39,19,17,37,30,31,37,25,37,33,17,34,25,27,40,31,21,25,33
39,34,43,43,36,27,33,31,36,34,38,30,43,40,33,34,39,33,29,13,36,33,26,38,42,41,40,31,37,43,31,33,33,33,34,39,27,29,35,40,29,25,31,27,42,42,16,36,39,23,41,34,37,31,32,30,24,43,28,42,32,39,40,34,30,38,29,33,30,19,35,27,24,26,31,38,38,24,27,34,37,34,28,38,34,31,21,21,39,41,38,34,39,42,34,34,26,42,42,42,39,33,27,30,29,37,40,28,24,34,31,23,42,12,34,41,37,44,17,34,42,27,21,37,41,35,27,42,18,36,34,21,34,41,37,36,39,43,36,20,32,28,29,41,37,19,33,37,25,39,34,39,28,28,33,41,26,36,30,21,33,33,34,34,33,34,32,43,38,36,34,28,25,38,25,28,38,43,32,26,25,41,39,18,27,33,36,31,40,33,27,42,17,38,41,38,15,27,39,29,32,40,31,40,36,38,41,29,31,41,38,24,43,40,28,33,39,37,26,25,31,38,20,29,20,39,35,31,27,43,23,31,40,21,27,41,28,19,39,35,42,24,40,23,40,41,25,36,28,39,39,38,20,10,33,27,30,34,29,34,38,35,25,38,28,33,28,38,41,38,25,32,21,38,40,40,40,42,32,37,34,34,35,33,25,35,37,38,29,24,31,32,26,40,27,31,20,42,29,44,40,35,30,26,41,29,35,27,34,40,32,34,37,34,36,34,41,32,34,42,32,36,37,18,37,31,29,27,33,31,39,33,35,39,41,40,37,32,38,30,34,36,43,23,35,27,26,26,39,42,35,40,24,38,43,34,34,31,24,35,39,43,36,34,30,36,37,39,40,20,31,37,38,36,32,28,25,40,30,35,39,33,37,21,33,23,36,39,41,37,37,24,32,22,42,34,37,37,43,25,36,27,23,30,38,40,32,30,23,35,40,17,26,39,43,20,38,34,36,37,29,41,33,38,33,35,27,38,30,39,37,28,39,33,34,29,34,28,31,28,28,22,22,30,23,34,42,37,40,32,30,24,27,26,33,28,22,38,41,19,42,25,40,31,25,41,24,28,39,23,29,40,31,29,36,37,27,16,26,35,34,43,28,27,25,43,18,27,44,41,39,32,27,26,16,32,30,27,35,24,21,36,29,35,44,29,26,34,29,24,24,32,44,39,34,31,34,39,34,30,42,32,35,26,39,39,42,31,19,35,17,32,36,44,33,36,38,25,41,33,34,36,31,43,38,43,12,28,34,18,37,25,34,23,33,38,38,37,26,36,37,28,30,18,37,29,33,20,39,38,35,35,42,41,30,38,31,14,36,37,41,25,39,38,35,34,39,29,21,42,32,36,22,38,41,37,29,31,37,42,38,32,23,27,24,34,39,28,43,41,38,39,26,32,37,28,32,28,41,41,31,24,37,31,26,28,24,44,32,23,39,22,21,31,30,26,39,37,34,35,29,35,36,43,28,20,31,33,25,24,40,32,20,35,40,30,39,39,17,30,41,42,44,35,39,36,37,32,31,37,31,29,21,19,20,40,34,40,29,39,18,37,33,33,35,33,26,34,31,43,42,36,39,22,39,29,38,42,39,42,21,35,42,33,40,13,29,18,37,41,35,40,41,27,36,43,40,42,19,28,37,36,41,35,31,23,41,15,42,38,37,32,40,35,29,30,36,38,32,17,19,36,34,25,28,36,41,36,29,42,29,9,24,41,42,30,35,35,37,29,24,20,22,34,41,38,35,29,38,33,30,34,41,31,42,19,27,20,26,30,33,43,25,34,35,40,26,29,28,19,26,36,22,40,26,38,29,38,39,41,40,29,33,40,36,33,20,26,22,33,37,36,31,33,38,39,23,38,25,21,37,35,28,37,40,40,34,28,36,39,35,37,20,43,36,33,17,31,23,40,32,32,38,31,33,38,39,41,41,36,37,26,40,41,40,27,32,37
43,38,44,44,43,44,35,44,39,39,39,42,45,45,45,42,42,38,43,19,38,45,28,45,43,42,43,39,38,45,39,44,36,38,38,40,36,44,42,45,30,43,39,36,45,44,43,45,43,40,43,35,38,32,36,43,42,44,45,45,36,45,41,38,38,43,36,42,41,45,39,28,30,33,39,45,45,39,45,41,41,37,40,42,42,35,41,29,43,45,44,42,41,43,36,43,41,45,43,43,43,44,28,36,31,41,43,44,36,45,32,28,45,23,41,44,40,45,19,35,43,41,27,41,45,40,32,45,22,45,37,31,44,43,41,44,43,44,37,43,39,32,30,44,40,23,45,45,33,44,45,44,30,45,42,44,29,38,44,29,37,39,38,38,43,42,36,45,39,38,35,42,43,40,39,40,43,44,42,34,37,44,45,45,31,44,45,35,41,38,32,43,28,44,44,42,37,38,44,42,36,43,40,44,43,39,44,44,41,42,43,30,45,41,36,40,45,43,35,32,34,44,31,33,27,41,44,34,31,44,42,45,43,39,35,45,34,42,45,40,43,27,45,27,44,44,33,37,36,40,44,39,39,38,34,43,38,35,36,35,45,43,43,40,37,38,44,39,45,39,41,37,34,41,41,44,41,44,35,42,42,37,41,34,43,43,45,43,33,35,44,41,43,45,34,32,31,45,45,45,43,40,44,36,42,39,40,44,37,44,45,39,43,35,44,44,45,34,36,43,34,43,43,39,38,33,44,35,41,42,40,42,39,44,45,45,41,36,40,43,38,41,44,37,42,33,27,42,40,43,43,41,30,40,44,36,40,42,34,40,41,44,41,44,43,37,40,42,43,27,38,41,40,39,45,34,35,41,31,44,43,45,38,29,45,36,43,41,42,38,43,40,44,38,44,44,45,40,45,40,40,40,27,35,41,42,34,38,31,43,41,33,35,45,45,44,40,35,44,40,38,44,34,45,37,43,39,45,34,42,40,30,43,38,44,40,44,44,34,30,34,43,26,40,44,40,45,39,41,40,37,25,36,44,40,37,36,43,43,42,44,33,45,35,28,43,42,39,40,26,32,43,40,32,38,40,42,20,37,40,39,45,40,45,34,45,21,42,45,43,45,44,44,30,40,38,40,35,40,40,40,37,45,44,45,36,41,36,33,25,31,42,45,42,45,43,43,43,38,37,45,37,44,45,43,43,45,44,20,42,28,44,39,45,36,42,43,34,45,42,45,39,39,45,41,45,20,32,41,36,45,45,41,39,41,45,42,43,38,45,40,32,45,38,38,33,34,42,45,42,41,37,44,45,45,45,32,41,37,38,43,29,41,40,39,44,43,40,26,43,45,41,42,39,44,40,31,43,40,45,40,37,43,42,30,36,45,38,45,44,45,40,39,38,38,42,34,35,43,44,34,44,39,37,37,40,44,45,33,38,44,42,22,36,42,27,43,40,43,37,44,39,40,44,37,24,38,41,37,33,44,37,25,37,45,32,44,44,20,36,45,45,45,40,44,39,45,37,44,45,34,38,45,38,33,42,40,45,34,43,23,43,34,36,39,34,41,35,42,45,43,39,45,42,41,44,41,45,41,43,34,39,45,41,45,36,34,19,39,42,36,42,42,44,37,45,44,43,28,43,39,39,42,39,35,26,45,21,45,42,45,43,43,36,42,45,40,43,37,21,22,44,37,28,41,45,42,40,43,44,44,31,33,45,44,45,40,45,42,37,32,36,31,43,45,44,36,42,44,40,41,43,45,36,45,34,42,33,30,32,35,44,37,44,40,43,27,41,43,39,39,38,24,43,36,40,35,43,42,45,44,44,37,44,39,39,29,44,44,40,38,45,38,35,45,44,32,43,26,43,43,37,40,43,42,41,44,35,44,40,37,43,25,44,43,42,39,32,30,43,35,37,40,37,40,42,45,42,44,39,39,40,42,42,42,31,42,40
